UserID,PetID
1,1190
1,5584
2,575
2,1453
2,15848
3,12699
3,2528
4,17706
4,6052
5,8615
5,9270
6,2381
6,12952
6,19080
7,15567
7,2147
7,1946
8,13623
8,15697
9,18808
9,9236
10,3624
10,14254
10,11722
11,16644
11,12021
12,19132
12,10962
12,2130
13,450
13,2047
14,15910
14,14599
15,3034
15,3967
15,11014
16,6096
16,17235
16,760
17,18259
17,229
18,1825
18,17113
18,6001
19,16518
19,7045
19,17136
20,8781
20,13501
21,504
21,12485
21,9812
22,8151
22,19926
22,1901
23,16443
23,926
24,2033
24,3144
24,11912
25,5806
25,5331
26,2324
26,4794
27,9625
27,5778
28,1235
28,7947
28,5880
29,3584
29,12023
29,15379
30,7096
30,8661
30,194
31,4575
31,2075
31,5848
32,11193
32,16534
33,2277
33,19531
33,14501
34,13981
34,19091
34,7591
35,15663
35,12005
36,16401
36,17115
36,8522
37,17799
37,17480
37,15225
38,15445
38,17467
38,7556
39,7253
39,18051
40,6414
40,19613
41,10933
41,4373
42,3681
42,5889
42,4344
43,12552
43,17274
44,13084
44,9039
45,6360
45,7703
45,5522
46,11527
46,6417
47,18362
47,12384
47,14849
48,11425
48,16835
49,2752
49,358
49,12935
50,17318
50,4902
50,14679
51,313
51,18406
52,10652
52,16055
52,15296
53,2813
53,1683
53,7040
54,12618
54,2900
54,1575
55,2906
55,13413
56,8984
56,19105
57,8588
57,4017
57,13224
58,4607
58,8335
58,2540
59,12864
59,11640
59,15260
60,5688
60,246
61,287
61,19338
61,17062
62,63
62,1646
62,2474
63,3503
63,12986
64,79
64,18247
65,18868
65,8491
65,15666
66,17711
66,4702
66,15906
67,2040
67,771
67,15349
68,5467
68,1979
68,4673
69,7445
69,10984
70,1494
70,10944
70,9253
71,10922
71,7000
71,13116
72,6792
72,4428
73,4951
73,10377
74,2854
74,12421
74,19056
75,3305
75,1333
76,4342
76,3296
77,8367
77,8077
77,16682
78,15202
78,4480
78,8888
79,16692
79,10645
80,1983
80,3411
81,8418
81,16087
82,11987
82,11349
83,18396
83,12907
83,2193
84,16243
84,18194
84,6655
85,11249
85,17927
85,7542
86,2374
86,1154
87,8136
87,7032
87,19365
88,7792
88,7611
88,14526
89,2739
89,8400
89,12543
90,13596
90,19515
90,992
91,16657
91,12685
92,12091
92,12773
93,2889
93,12510
94,3787
94,10321
94,1052
95,17728
95,5236
96,512
96,19688
96,10262
97,15629
97,14242
97,5498
98,12757
98,2467
98,15080
99,9298
99,6604
99,12797
100,11049
100,10167
101,11643
101,414
101,13135
102,8465
102,8128
102,16906
103,11239
103,4228
